,rating,reviewContent,clean_text
0,0,baru 10 bulan layarnya dah bergaris,layar gar
1,0,Pengirim barang tidak sesuai janji. Katanya express 1 hari. Dari hari jumat barang sampai hari rabu. SeMoga barangnya awet saja.,kirim barang sesuai janji express jumat barang rabu moga barang awet
2,0,"Bagaimana tv LED saya merek Sharp 24 hitam LC 24LE170i sekarang mati total baru 2 bln kemana saya harus menghubungi dan meminta bantuan mohon kebijakan dan solusinya ,, so,alnya masih garansi kepada pihak lazada saya mohon bantuannya terimakasih!!!",televisi led merek sharp hitam lc lei mati total mana hubung bantu mohon bijak solusi garansi lazada mohon bantu terimakasih
3,2,Pengiriman super lama.. tapi datang juga sich,kirim super sich
4,2,Barang mulusss mantapppppp,barang mulusss mantapppppp
5,1,"Barang sampai dengan aman. Kemampuan laptop sesuai dengan yang di iklankan. Hanya saja, laptop datang dengan DOS sehingga harus di install sendiri windows nya. Overall, it's worth the money.",barang aman mampu laptop sesuai iklan laptop dos install windows nya overall its worth the uang
6,2,Murah banget itu enga salah kasih harga tau2 nati salah kasi info barang nya,murah banget enga salah kasih harga tau nati salah kasih informasi barang nya
7,0,Barang udah sampai tapi pas dinyalain g bisa. Gmn pertanggung jawaban lazada?,barang pas dinyalain tanggung lazada
8,0,kapasitasy kurang bagusss aturany klw kosong g bnyakkk firusss tpi nieh bnyakkk firusss sangat kecewe,kapasitasy bagusss aturany kosong bnyakkk firusss nieh bnyakkk firusss kecewe
9,1,barangnya bagus banget.. sesuai dengan gambar dn deskripsi.. pengiriman cepat.. bagus dn recomended bangt..👍,barang bagus banget sesuai gambar deskripsi kirim cepat bagus recomended bangt
10,1,brang cukup bagus,brang bagus
11,0,"barang tanpa kemasan, tanpa pelindung apapun, hanya dus tv saja, liat dusnya sobek dikit sudah mulai curiga, kayaknya pecah ini, eeeeellllaaaa pas dibuka pecah beneran, BAD SELLER, BENER BENER BAD SELLER MAU UNTUNG AJA, tanpa peduli keadaan produk , kalo gak ada untung n pelit pakingan ya jgn jualan ....barang sudah retur , mudah mudahan barangnya cepat di kirim lg d",barang kemas lindung apa dus televisi lihat dus sobek curiga kayak pecah eeeeellllaaaa pas buka pecah beneran bad jual bener bener bad jual untung peduli produk untung n pelit paking ya jual barang retur mudah mudah barang cepat kirim d
12,0,Pengiriman tidak sesuai tanggal yang tertera,kirim sesuai tanggal tera
13,0,Jangan pernah beli disini..parah banget..barang belum sampe udh 2 mi ggu alesan nya gak jelas gangguan dll..,beli disiniparah bangetbarang mi ggu alesan nya ganggu lain
14,0,hati hati ini tv ga bisa pake USB,hati hati televisi pakai usb
15,2,Sangat puas dengan produknya. Terimakasih..,puas produk terimakasih
16,1,"Memuaskan, produk sesuai deskripsi, packing bagus, dan penerimaan produk cepat untuk saya yg berada di jkt",muas produk sesuai deskripsi packing bagus terima produk cepat jakarta
17,2,"Kenapa chargernya tidak lengkap....?? G bisa langsung dipakai buat charger..., kita harus nyari dan beli lagi sambungan buat chargernya.., tolong d bantu",chargernya lengkap langsung pakai charger nyari beli sambung chargernya tolong d bantu
18,1,Biarkan bintang yang berbicara ... 👌👍,biar bintang bicara
19,2,Nyicil dengan cara mudah prosesnya susah nggak,nyicil mudah proses susah
20,1,Pokonya puas..,poko puas
21,2,Saya igin pesan tapi packingnya kalo bisa harus rapih dan aman jadi barang terlindungi. Untuk saat ini bintang 3 nanti kalo barangnya udah diterima dan bagis jadi 5 bintang,igin pesan packingnya rapih aman barang lindung bintang barang terima bagis bintang
22,2,"Saya kurang yakin produk ini genuine karena hologramnya pun tidak ada dan kartu garansinya pun tidak ada..hanya keterangan saja di dusnya bahwa barang ini Original Resmi Indonesia Bergaransi ..dengan diberi nomor telpon Service Centernya.... Memory yang tersedia ternyata juga tidak sampai 2 TB tetapi 1.81 TB  selisih 0.19 TB ...besar banget selisihnya..tidak mungkin juga terpakai untuk sistemnya sampai begitu banyak...tapi tidak begitu masalah...  Eksternal hardisk ini bekerja bagus, cepat dan  Hadiah hardcase cukup bagus  untuk melindungi barang  ini dari debu dan benturan. Sayangnya saat di registrasi ke Official Webnya WD ternyata Identification Numbernya tidak dikenal..tidak valid...alias barang ini bukan asli..alias KW.. Seller responsif sayangnya tidak memberitahu asli tidaknya barang ini. Pengiriman terhitung cepat..dalam 2 hari barang sudah di tangan.. Mudah2an saja barang ini awet wslaupun tdk original",produk genuine hologram kartu garansi adahanya terang dus barang original resmi indonesia garansi nomor telepon servis centernya memory sedia tb tb selisih tb banget selisihnyatidak pakai sistem banyaktapi eksternal hardisk bagus cepat hadiah hardcase bagus lindung barang debu bentur sayang registrasi official webnya wd identification numbernya dikenaltidak validalias barang aslialias kau jual responsif sayang memberitahu asli tidak barang kirim hitung cepatdalam barang tangan mudah barang awet wslaupun original
23,2,barang bagus peking rapih. gua rekomendasikan banget lah klo barangnya.cma sayang pengiriman lama kaya ampas jne dioper sana sini barang gua ga ga muncul2 harus di komplen dlu cs ny kali baru ngerti. mending buat pengiriman lain deh lbi bgus,barang bagus peking rapih rekomendasi banget barangnyacma sayang kirim kaya ampas jne oper barang muncul komplen cs ny kali ngerti mending kirim deh lbi bgus
24,0,"barang belum terima....pihak lazada bilang sidah diterima. cek di JNE lhoksukon aceh utara barang tidak ada...ada masalah, petigasnya tdk ramah, dan tdk ada solusk. mana yg benar. email ke CS JNE sama CS Lazada tdk ada reapon. bagaimana nasih barang saya harga 1 jt an",barang terimapihak lazada bilang sidah terima cek jne lhoksukon aceh utara barang adaada tigas ramah solusk email cs jne cs lazada reapon nasih barang harga jt an
25,1,"Packing Rapi, kualitas oke, fitur2 persis seperti deskripsi, desain keren... cuma yg kurang puas di segi kecepatan transfer hanya mentok di 9-10 Mb/s",packing rapi kualitas oke fitur persis deskripsi desain keren puas segi cepat transfer mentok mbs
26,0,"Gmn nih lazada saya liat iklannya flashdisk tapi yg dikirim koq malah flashdrive,,,,mohon penjelasannya,,barang sdh saya buka.....saya br x ini kecewa",nih lazada lihat iklan flashdisk kirim koq flashdrivemohon penjelasannyabarang bukasaya br x kecewa
27,1,"Cepet sampai, barang asli, bagus lah. Thanks LAZADA",cepat barang asli bagus terimakasih lazada
28,0,Tidak bisa berfungsi menyimpan data,fungsi simpan data
29,0,"Flashdisk saat dicopy file yg kebaca setengah doang,  ud mana beli 2, saya tertipu pantes g garansi, hati hati untuk yg mau beli",flashdisk dicopy file baca beli tipu garansi hati hati beli
30,0,Ga bisa dipakai...,pakai
31,0,Barangnya lama sekali,barang
32,0,Kok dapet nya warna biru,dapet nya warna biru
33,0,"Pengiriman cepat. Kualitas gambar bagus, terutama kualitas suaranya oke. DVB T2 berfungsi baik. Cuma remote ada yg error. Tombol source tidak fungsi, jd kalau mau ganti ke usb, hdmi atau lainnya mesti pencet tombol fisik di tvnya. Sudah minta ganti ke seller, malah disuruh contact Aquanya. Kata Aqua kalau remote rusak dan baru beli bisa minta ganti ke tokonya. Ribet deh dipingpong...😤",kirim cepat kualitas gambar bagus kualitas suara oke dvb t fungsi remote error tombol source fungsi ganti usb hdmi mesti pencet tombol fisik tvnya ganti jual suruh kontak aquanya aqua remote rusak beli ganti toko ribet deh pingpong
34,2,Ini layar sentuh bukan yah?,layar sentuh yah
35,2,Bayar ditempat?,bayar tempat
36,0,"Ditulis khusus jabodetabek,tp tersedia diwilyah lampung... dibeli tp dicancel krn diluar daerah. Klo gk bisa harusnya dtulis tdk tersedia diwil.anda..",tulis khusus jabodetabektp sedia diwilyah lampung beli dicancel luar daerah dtulis sedia diwilanda
37,2,Gmana caranya klw mau ikut kredit di lazada...??,gmana kredit lazada
38,1,"Packing rapih dan aman banget barangnya, pengiriman cepat (hari ini order, besok langsung dateng). Pokonya seller recommended, dari segi harga juga bersaing. :) ;) :D",packing rapih aman banget barang kirim cepat order besok langsung poko jual recommended segi harga saing d
39,1,biar bintang yang berbicara,biar bintang bicara
40,2,"Pengiriman cpt smp.  Produk bagus, sesuai gambar. Trims...",kirim cepat smp produk bagus sesuai gambar trims
41,2,"TV nya udh seminggu blm sampai juga, Sepertinya harus meningkatkan pengiriman nya lebih diperhatikan supaya sampai sesuai estimasi, thanks",televisi nya minggu tingkat kirim nya perhati sesuai estimasi terimakasih
42,0,virus shortcut,virus shortcut
43,1,"packing ok, barang sesuai deskripsi.",packing ok barang sesuai deskripsi
44,2,barangnya tiba dengan selamat & cepat. tapi kemasan otg nya nggak memuaskan.,barang selamat cepat kemas otg nya muas
45,1,"Flashdisk baru, waktu pas beli lagi diskon, packagingnya jga rapih so far so good",flashdisk pas beli diskon packagingnya rapih far good
46,2,"8 hari baru sampai, sistemnya kosong root saja tampil jadi hrs install ulang,, packingan rapi dan tersegel",sistem kosong root tampil install ulang packingan rapi segel
47,1,"Maaf baru sempat review.  Secara umum cukup puas dengan layanan penjual. Packing bagus, rapih dan aman. Fisik barang sesuai gambar dan ulasan yang ada di website, hanya saya mis-informasi aja karena ternyata HD External WD ini gak dapat sarungnya.  Overall, saya rekomendasi sellernya. Thanks dan tingkatkan selalu pelayanannya, Sukses!!",maaf tinjau puas layan jual packing bagus rapih aman fisik barang sesuai gambar ulas situs misinformasi hd external wd sarung overall rekomendasi sellernya terimakasih tingkat layan sukses
48,0,Cukup memuaskan,muas
49,2,barang nya sesuai dan mulus di bungkus rapi,barang nya sesuai mulus bungkus rapi
50,2,Item arrived in perfect condition and still working well until today. Fast delivery and great customer service/communication.  Thanks,item arrived in perfect kondisi and working well until fast delivery and great customer servicecommunication terimakasih
51,0,"Ini cuman My Passport biasa, bukan My Passport ULTRA, tulis deskripsi yang bener ya...",my passport my passport ultra tulis deskripsi bener ya
52,0,tidak sesuai gambar,sesuai gambar
53,2,Klu saya mau beli tv di lazada di jamin g ya kualitasnya.,beli televisi lazada jamin ya kualitas
54,2,Gmna,
55,1,packingnya rapi barangnya bagus dan murah tq,packingnya rapi barang bagus murah terimakasih
56,2,Lumayan lah untuk harga segini. Sayang ngebaca hdd 700gb lemot euy,lumayan harga gin sayang ngebaca hdd gb lot euy
57,2,lumayan,lumayan
58,1,"Barang datang cepat, mulus.. semoga tidak ada masalah kedepannya",barang cepat mulus moga depan
59,2,"Hanya bisa menyimpan sedikit file, padahal kapasitas 16 GB. Sebagian besar file lainnya tidak bisa terbaca padahal sudah saya coba beberapa kali.",simpan file kapasitas gb file baca coba kali
60,0,Tidak bisa menyimpan data,simpan data
61,0,Karna tidak bisa nyimpan film dan data,nyimpan film data
62,1,Pengen beli budget ga cukup,beli budget
63,2,Cara cicilan gimna?  Pake dp gk?,cicil pakai dp
64,0,Knapa pesanan sayadi batalkan??,pesan sayadi batal
65,0,Saya sangat2 kecewa banget kenapa sih udah di tranfer malah di batalin barang nya gmn sih lazada...,kecewa banget sih tranfer batalin barang nya sih lazada
66,2,Bang kalau + upgrade ram jadi total berapa?,bang upgrade ram total
67,2,suaranya blm teruji,suara uji
68,1,"barangnya ok,, cpt smpainya, thanks lazada",barang ok cepat smpainya terimakasih lazada
69,2,ini memori nya brp gb ya tolong di jawab,memori nya gb ya tolong
70,0,Bisa bayar ditempat?,bayar tempat
71,2,Ini Widows apa ya?,widows ya
72,2,Laptop nya sudah saya terima dan packing nya bagus tanpa sedikit cacat.ThanksLazada,laptop nya terima packing nya bagus cacatthankslazada
73,0,Os sudah terisi kan. Kalau sdh pakai os win berapa gan?,os isi pakai os menang juragan
74,0,kenapa pesanan saya mostnya tidak dikasih..saya merasa rugi...,pesan mostnya dikasihsaya rugi
75,1,"Barangnya bagus sesuai pesanan,packingnya rapih barang dua duanya bagus tdk ada masalah,terimakasih lazada,terimakasih seller👍👍👍",barang bagus sesuai pesananpackingnya rapih barang dua bagus masalahterimakasih lazadaterimakasih jual
76,2,"Trims lazada. Paket pembelian Tv kami telah sampai ketujuan tepat waktu, Tanpa cacat sedikit pun.",trims lazada paket beli televisi tuju cacat
77,0,Bagi Yang Minat Order/Pesan Barang Kami.Untuk Lebih Lanjut Silakan add Whatsapp/WA 085342633687 Langsung Dari Resseller Toko...pengirima free ongkir se indonesia.Terimah Kasih...!!!,minat orderpesan barang kamiuntuk sila add whatsappwa langsung resseller tokopengirima free ongkir indonesiaterimah kasih
78,2,Barang hari ini pesen di anternya juga hari ini tapi mana ??  Di tunggu 24jam gak ad !@ Saya pesan dan tf tgl 2 jam 7 pagi  Tolong dong. Gojek nya juga susah di hubungi,barang pesan anter tunggu jam pesan tf tanggal jam pagi tolong gojek nya susah hubung
79,2,harus yg asli,asli
80,0,Masa sya pesen 9agustus kode voc ia gx bisa d pake trus gmna ni penanganan ia mkcy,pesan agustus kode voc d pakai ni tangan mkcy
81,0,Cara mencicilnya gmna?klw gak ad kartu kredit,cicil gmnaklw kartu kredit
82,0,Kalo cicilan syarat y ap saja...,cicil syarat y ap
83,1,Barang bagus. Dilihat nyamping tdak jelas.,barang bagus nyamping
84,2,kira kira brp lama nyampe k tempat saya kak..kalo terjadi masalah pada pengiriman gimana semacam rusak or pecah,k kakkalo kirim rusak or pecah
85,2,lama sampe dan responnya automatic system,responnya otomatis system
